QUEST_20150317_000001	Por favor, selecione o usuario que precisa de uma atualizacao de quest.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20150317_000144	Espadachins deveriam ter Forca, mas voce tambem pode ter Destreza e Constituicao. {nl}Voce tera de pensar sobre como quer comecar.	검사 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림이나 강한 체력을 키울수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.				
QUEST_20150317_000145	Magos trabalham com Inteligencia, mas nao devem se esquecer de Espirito para conjurar mais feiticos. {nl}Voce tera de escolher entre equilibrio e especializacao.	마법사 계열이라면 역시 지능이죠.{nl}하지만 마법을 자주 사용하려면 정신력도 잊지 말아야 합니다.{nl}균형과 집중 중에서 잘 선택하셔야 해요.{nl}				정찰병
QUEST_20150317_000146	Arqueiros deveriam ter Forca, mas Destreza evita problemas com movimento. {nl}Voce tera de pensar sobre como quer comecar.	궁수 계열이라면 역시 힘이죠.{nl}하지만 민첩한 몸놀림을 빼 놓을 순 없겠지만요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 겁니다.{nl}				
QUEST_20150317_000147	Clerigos trabalham com Inteligencia, mas podem precisar de muita Forca ou Espirito. {nl}E bom voce decidir por onde quer comecar.	성직자 계열이라면 역시 지능이죠.{nl}하지만 강한 힘이나 정신력이 필요할 수도 있어요.{nl}앞으로 무엇이 될 지 먼저 따져보는게 좋을 거예요.{nl}				
QUEST_20150317_000148	Mestre Doppelsoldner	도펠죌트너 마스터				
QUEST_20150317_000149	Tudo que e valioso sempre carrega certo risco. {nl}Naturalmente, para obter grandes recompensas, voce tera de enfrentar grande perigo.	위험한 일일수록 가치 있는 경우가 많지.{nl}높은 보수를 원한다면 당연히 그만한 위험을 감당해야 할 줄도 알아야 하고.				도펠죌트너 마스터
QUEST_20150317_000150	Mestre Corsario	커세어 마스터				
QUEST_20150317_000151	Nao ajudarei ninguem em apuros se nao receber algo em troca.	나에게 도움이 되는 일이 없다면 굳이 남을 돕는 고생을 할 필요는 없지.				
QUEST_20150317_000152	Rochedo	바위				
QUEST_20150317_000153	Um enorme rochedo bloqueia o caminho.	커다란 바위로 막혀있다..				바위
QUEST_20150317_000154	Precisa ser consertado.	망가져 수리가 필요하다..				
QUEST_20150317_000155	Um rochedo bloqueia o caminho.	바위로 막혀있다..				
QUEST_20150317_000156	Material de Pesquisa de Magia	마법 연구 자료				
QUEST_20150317_000157	Parecem ser as notas de pesquisa de alguem da Torre da Maga. {nl}Deveriam ser copiadas?	마법사의 탑에 있던 어느 마법사가 쓴 듯한 연구 자료가 보인다.{nl}베껴갈까?				마법 연구 자료
QUEST_20150317_000158	Se esconder e espreitar nao resolvera todos os seus problemas. {nl}Um Batedor de verdade tambem deve estar pronto para lutar.	은신과 잠입에만 능하다고 만사가 아냐.{nl}전투기술도 갖추고 있어야 진정한 스카우트지.				
QUEST_20150317_000159	Voce vai precisar de muitas coisas em suas viagens. {nl}Certifique-se de estocar provisoes de antemao.	여행을 하다 보면 사소한 물건들이 아쉬울 때가 많지요. {nl}미리 충분히 사두는 것이 좋답니다.				
QUEST_20150317_000160	Se a magia de controle for dissipada, as mensagens divinas nao serao protegidas.	제어 마법의 주문이 끊긴다면 더 이상 계시를 지킬 수 없다.				수호자의 석상
QUEST_20150317_000161	Cenotafio do Ladrao Esquecido	이름 모를 도둑의 비석				
QUEST_20150317_000162	Eu, Zubeck, deixo este epitafio. {nl}Pela honra de ser o maior ladrao da historia, desafiei uma feiticeira poderosa.	나 즈벡은 이 비문을 남긴다.{nl}최고의 도둑이라는 자부심을 걸고 역사상 가장 강력하다는 마법사에게 도전할 것이다.				이름 모를 도둑의 비석
QUEST_20150317_000163	Mas poderia eu, um mero ladrao, clamar vitoria simplesmente roubando dela? {nl}Talvez, se eu pudesse roubar a maior arquimaga ate o ultimo centavo.	하지만 이 내가 도둑질만 한다고 해서 성공이라 할 수 있을까?{nl}물론 위대한 대마법사를 상대로 그 정돈 훌륭한 성공이랄수도 있겠지.{nl}				이름 모를 도둑의 비석
QUEST_20150317_000164	Entretanto, nao foi possivel. {nl}Eu queria ser o maior ladrao da historia, nao apenas de hoje.	하지만 나는 아니다. {nl}나는 당대 최고가 아니라 역사 제일의 도둑이고자 한다.{nl}				이름 모를 도둑의 비석
QUEST_20150317_000165	Eu finalmente descobri uma maneira de entrar na Torre da Maga. {nl}Para fazer isso, a pessoa precisa concentrar poder magico em um lugar especifico. {nl}Agora, eu so preciso dar mais um passo decisivo.	드디어 마법사의 탑으로 들어갈 방법을 찾았다.{nl}그건 특정 장소에 마력을 응집하는 것.{nl}이제는 결행만이 남았다.				이름 모를 도둑의 비석
QUEST_20150317_000166	Depois disso, meu dispositivo especial sera ativado. {nl}Se voce fizer como eu fiz, tambem sera capaz de entrar na torre.	이제 곧 나의 특제 장치가 작동할 것이다.{nl}날 따라 한다면 그대도 마법사의 탑으로 들어갈 수는 있겠지.{nl}				이름 모를 도둑의 비석
QUEST_20150317_000167	Depois disso, voce tambem podera mostrar aqueles magos burros um truque ou outro. Haha!	물론 그 후에 멍청한 마법사들 같은 건 알아서 해야 할 것이다. 하하!				이름 모를 도둑의 비석
QUEST_20150317_000168	Monumento Imponente	교훈의 비석				
QUEST_20150317_000169	Os ladroes que entraram nessa torre foram queimados vivos. {nl}Deixo este monumento como um aviso aos outros invasores. {nl}- Agailla Flurry	남의 탑을 침입하고 남의 물건을 손댄 어리석은 도적을 불태워 죽였다.{nl}허나 그의 비석은 침입자에 대한 경고로써 남겨두는 바이다. {nl} -아가일라 플러리-				교훈의 비석
QUEST_20150317_000170	Rainha Demonio Gesti	마왕 제스티				
QUEST_20150317_000171	Humanos insolentes.	인간 주제에 감히 내게.. {nl}				마왕 제스티
QUEST_20150317_000172	Esperem so. Esse nao e o fim. {nl}Rezem do fundo do coracao para que Laima salve esse mundo.	두고 보아라. 아직 끝나지 않았으니까.{nl}라이마가 이 세계를 구하길 마음껏 빌어 보거라.				마왕 제스티
QUEST_20150317_000173	Oficial de Klaipeda	클라페다 안내병				
QUEST_20150317_000174	Sejam bem-vindos. {nl}Sir Uska aguarda na praca central de Klaipeda. {nl}Ah, voce precisava de outra coisa antes?	어서 오시죠. 우스카님이 클라페다 중앙 광장에서 기다리고 계십니다.{nl}참, 미처 숙지하지 못한 사항이 있으십니까?				클라페다 안내병
QUEST_20150317_000175	Voce quer seguir para o portao de Klaipeda imediatamente?	클라페다 입구로 바로 이동하고 싶은 건가?{nl}잘 생각해 보게.				기사 티타스
QUEST_20150317_000176	Operador Temporario	임시운영자				
QUEST_20150317_000177	Por favor, altere o estado desse personagem.	이 캐릭터의 상태값을 바꿔주세요				임시운영자
QUEST_20150317_000178	Configuracao de ESCONDER/DESESCONDER NPC!	NPC HIDE/UNHIDE설정!				임시운영자
QUEST_20150317_000179	Seguidor Algis	추종자 알기스				
QUEST_20150317_000180	O momento que a deusa profetizou ao primeiro Paladino finalmente chegou. {nl}Venha. Pergunte-me o que quiser.	여신께서 초대 팔라딘에게 예견하신 순간이 찾아왔군.{nl}자, 뭐든 물어 보려므나.				추종자 알기스
QUEST_20150317_000181	Ha muito, muito tempo, havia um grupo de nomades que foi acometido por uma praga amaldicoada. {nl}O honrado primeiro Paladino removeu a maldicao com uma Reliquia Sagrada.	아주 먼 옛날에 역병의 저주를 받은 유목민이 떠돌고 있었단다.{nl}초대 팔라딘님께서 그들의 저주를 치유의 성물로 끊어 주셨어.{nl}				추종자 알기스
QUEST_20150317_000182	Os Vigias sao os descendentes daqueles nomades. {nl}Entretanto, a Reliquia Sagrada nao foi feita para curar aquelas pessoas.	파수꾼들이 바로 그 유목민들의 후예이지.{nl}하지만 성물의 본래 목적은 치유가 아니야.{nl}{nl}				추종자 알기스
QUEST_20150317_000183	Um dia, a deusa pediu ao primeiro Paladino que protegesse uma revelacao divina. {nl}Os nomades amaldicoados apareceram no momento em que o paladino se questionava sobre como manter o segredo.	어느 날, 여신께선 초대 팔라딘에게 계시를 부탁하셨지.{nl}이걸 어떻게 감출까 고민하던 차에 나타난 게 저주받은 유목민이였어.{nl}				추종자 알기스
QUEST_20150317_000184	Eles e o primeiro Paladino fizeram tres juramentos antes de quebrar a maldicao.	초대 팔라딘님께선 저주를 끊어 주는 조건으로 세 가지 맹약을 내거셨지.{nl}				추종자 알기스
QUEST_20150317_000185	Construir a Igreja da Doutrina juntos. {nl}Esconder a Reliquia Sagrada nesse local e adorar sua santidade. {nl}Se reunir e lutar juntos quando o perigo se aproximasse desse local.	테넷 성당을 함께 지을 것. {nl}치유의 성물을 이 땅에 감춰 두고 성스럽게 모실 것.{nl}이 땅에 위험이 닥칠 때 함께 힘을 모아 싸울 것.{nl}				추종자 알기스
QUEST_20150317_000186	Tudo isso com o intuito de proteger a revelacao oculta no sacrario da Igreja da Doutrina.	이게 다 테넷 성당의 성소에 감춰져 있는 계시를 지키기 위한 거란다.				추종자 알기스
QUEST_20150317_000187	A Reliquia Sagrada foi criada originalmente para proteger a revelacao como uma isca. {nl}Com ela, atrairemos a Rainha Demonio aqui e a destruiremos.	치유의 성물은 본디 계시를 지키려고 만들어진 거란다.{nl}이걸로 마왕을 유인해서 해치우는 것이지.{nl}				추종자 알기스
QUEST_20150317_000188	Tudo pode acontecer, entretanto. {nl}Se o plano falhar, a batalha final provavelmente ocorrera na Igreja da Doutrina.	하지만 모든 건 만약이라는 게 있기 마련이거든.{nl}이 작전이 실패한다면 최후의 결전이 벌어질 장소는 아마 테넷 성당이 될 게야.				추종자 알기스
QUEST_20150317_000189	Pawndel	폰델				
QUEST_20150317_000190	Que foi?	무슨 일인데?				폰델
QUEST_20150317_000191	Serio?	정말?				폰델
QUEST_20150317_000192	Pawnd	폰드				
QUEST_20150317_000193	O que aconteceu?	무슨 일이야?				폰드
QUEST_20150317_000194	Gesti nos instruiu a proteger esse lugar.	제스티님이 여기 지키라고 하셨어..				폰드
QUEST_20150317_000195	Entao, o que faco agora?	이제 뭘 해야하지?				폰델
QUEST_20150317_000196	Esse e o lugar certo?	여기가 맞아?				폰드
QUEST_20150317_000197	Explicando	설명 중				
QUEST_20150317_000198	Compartilhou os detalhes do fragmento de revelacao encontrado na Mina de Cristal.	수정광산에서 얻은 계시의 내용의 일부를 알려주었다				
QUEST_20150317_000199	Nao sei quao incrivel voce foi no passado, nem ligo para isso. {nl}Aqui, todos seguem as ordens do Exercito Real, ate voces, Cavaleiros de Kaliss. {nl}Aqui, nossa palavra e lei!	당신의 과거행적이 얼마나 빛나는지 모르겠습니다만 여기선 왕국군의 통제를 따라 주셔야합니다.{nl}칼리스 기사단도 마찬가지 입니다. 여기선 왕령에 따라 우리가 곧 법입니다.				
QUEST_20150317_000200	Ladrao de Tumulos Hubertas	도굴꾼 후베르타스				
QUEST_20150317_000201	Ficar aqui nessas ruinas esta me deixando louco. {nl}Por que diabos ele veio aqui, afinal de contas?	이런 황폐한 곳에서 며칠씩 기다리고 있으려니 내가 미쳐가는 게 느껴져.{nl}형님은 대체 왜 안 오시는 거야!				도굴꾼 후베르타스
QUEST_20150317_000202	Ladrao de Tumulos Benjaminas	도굴꾼 벤자미나스				
QUEST_20150317_000203	As pessoas nos chamam de ladroes de tumulos, mas preferimos o termo... arqueologos, {nl}cacando e empregando todos aqueles itens que ninguem mais usa. {nl}Melhor que deixa-los apodrecendo, nao e?	우린 스스로를 고고학자라고 부르고 싶어하지만 다들 도굴꾼이라고 하지요.{nl}주인없는 물건들이 제가치를 찾을 수 있는 곳으로 옮겨주는 일은 어쩔땐 여신을 대변하기까지 합니다.{nl}누구에게나 여기 이렇게 굳어서 풍화되어 사라져가는 것보단 훨씬 나을 거에요.				
QUEST_20150317_000204	O Diario de um Cidadao	어느 시민의 일기				
QUEST_20150317_000205	Ja faz um ano desde que a guerra civil comecou. Os precos subiram drasticamente aqui na cidade. {nl}Comandante Ruklys pediu ajuda para restaurar os suprimentos decrescentes da cidade. {nl}Ja faz um tempo desde a ultima vez que recebemos boas noticias. Ha rumores sobre o Rei Kadumel tentar ir atras do general. {nl}Essa conversa nao deve mudar tao cedo.	내전이 발발한 지 1년이란 시간이 지났다. 도시의 물가가 무척 올랐다. 루클리스 장군께서는 병참물자를 내놓아 부족한 도시의 물자를 보충한다고 한다. 그러나 모처럼 좋은 소식에도 카듀멜 국왕이 루클리스 장군을 노리고 친정을 하려 한다는 소문이 돌아서 사람들의 분위기는 그다지 좋지 않다.				
QUEST_20150317_000206	Relatorio de um Sentinela	어느 파수병의 일지				
QUEST_20150317_000207	As guaritas foram reforcadas em resposta aos movimentos das forcas do Rei Kadumel nesse pais. {nl}Foi confirmado que o rei comanda um enorme exercito. {nl}Mas se o General Hayatin conseguir reunir soldados voluntarios suficientes, o rei incompetente provavelmente se rendera ou batera em retirada.	카듀멜 국왕이 친정하면서 전황이 급박해져 초소의 경비가 더 강화되었다. 무능한 카듀멜이 많은 병력을 이끌고 온 것은 사실이지만. 하야틴 장군께서 지원병을 이끌고 오신다면 카듀멜은 항복하거나 도망치게 될 것이다.				
QUEST_20150317_000208	O Registro de um Comerciante	어느 상인의 일기				
QUEST_20150317_000209	A cidade esta ficando sem comida e suprimentos. {nl}(O resto esta ilegivel.)	도시에 식량과 물자가 바닥나고 있다. (이하는 판독불능)				
QUEST_20150317_000210	O rumor sugere que Ruklys esta ciente das condicoes terriveis dos cidadaos {nl}e esta negociando a anistia deles com Kadumel.	시민들이 겪는 고난이 심하다는 보고를 듣고 루클리스 장군께서 시민의 안전을 조건으로 카듀멜과 협상을 한다는 소문이 들린다. 				
QUEST_20150317_000211	O Registro de um Oficial	어느 장교의 기록				
QUEST_20150317_000212	O Premie Eminente esta negociando com o Comandante Ruklys. {nl}Talvez sejamos obrigados a mover a Fortaleza da Terra e deixar as forcas reais tomarem a cidade. {nl}Sao boas noticias para nossos civis, pelo menos. Apesar de abrir mao da cidade, a Fortaleza nao sera tomada tao facilmente.	재상인 프리미어 에미넌트가 루클리스 장군과 협상에 응했다고 한다. 협상에 따라 우리는 대지의 요새로 전부 이동하고 도시는 왕실군에게 내어줄 것이란 말이 들린다. 시민들을 생각하면 어쩌면 잘 된 일일 수도 있다. 도시는 양보했지만, 대지의 요새는 적에게 간단히 내줄 만큼 약한 곳이 아니다.				
